Designator,Mid X,Mid Y,Rotation,Layer
U210,23.15,-88.35,315.0,top
U211,26.9,-91.95,0.0,top
U212,32.9,-91.95,0.0,top
U213,40.0,-101.35,0.0,top
U214,49.2,-98.75,45.0,top
U215,52.6,-95.25,45.0,top
U216,56.05,-91.65,45.0,top
U217,59.599999,-88.05,45.0,top
U218,63.099999,-84.45,45.0,top
U219,65.25,-79.95,270.0,top
U22,119.199999,-44.0,270.0,top
U220,67.2,-84.5,315.0,top
U221,70.55,-104.45,270.0,top
U222,70.55,-101.2,270.0,top
U223,70.55,-97.8,270.0,top
U224,70.55,-94.35,270.0,top
U225,70.55,-90.9,270.0,top
U226,69.65,-87.05,315.0,top
U227,73.15,-82.15,270.0,top
U228,73.15,-80.25,270.0,top
U229,73.15,-78.4,270.0,top
U23,113.15,-34.25,315.0,top
U230,73.15,-76.55,270.0,top
U231,73.15,-74.65,270.0,top
U232,73.15,-72.95,270.0,top
U233,73.15,-69.65,270.0,top
U234,73.15,-67.05,270.0,top
U235,72.95,-63.05,270.0,top
U236,76.65,-64.2,0.0,top
U237,73.15,-58.75,0.0,top
U238,69.4,-58.95,0.0,top
U239,73.0,-56.0,270.0,top
U24,108.8,-29.799999,315.0,top
U240,73.5,-52.5,0.0,top
U241,76.0,-52.5,0.0,top
U242,79.5,-58.75,0.0,top
U243,81.95,-64.2,0.0,top
U244,84.25,-50.0,45.0,top
U245,85.95,-53.4,270.0,top
U246,87.0,-50.4,135.0,top
U247,89.7,-53.2,135.0,top
U248,92.15,-55.7,135.0,top
U249,90.25,-57.599999,45.0,top
U25,104.25,-25.049999,315.0,top
U250,88.3,-58.75,0.0,top
U251,85.95,-56.2,270.0,top
U252,85.95,-62.05,270.0,top
U253,85.95,-64.2,270.0,top
U254,85.95,-58.75,0.0,top
U255,85.95,-67.099999,270.0,top
U256,85.95,-69.85,270.0,top
U257,85.95,-73.0,180.0,top
U258,90.85,-66.7,315.0,top
U259,92.5,-68.8,270.0,top
U26,92.4,-32.25,0.0,top
U260,103.3,-63.3,270.0,top
U261,103.2,-73.35,0.0,top
U262,98.1,-70.2,225.0,top
U263,92.5,-72.95,180.0,top
U264,92.5,-75.3,270.0,top
U265,92.5,-77.85,270.0,top
U266,92.5,-80.4,270.0,top
U267,92.5,-82.95,270.0,top
U268,92.5,-85.5,270.0,top
U269,93.6,-88.55,315.0,top
U27,97.75,-34.5,315.0,top
U270,95.75,-90.7,315.0,top
U271,97.9,-92.95,315.0,top
U272,99.95,-95.0,315.0,top
U273,103.0,-101.75,225.0,top
U274,105.35,-103.15,0.0,top
U275,104.5,-100.25,225.0,top
U276,109.4,-95.2,225.0,top
U277,114.3,-90.15,225.0,top
U278,107.05,-68.7,315.0,top
U279,111.8,-74.0,315.0,top
U28,103.05,-42.9,270.0,top
U280,113.5,-75.7,315.0,top
U281,117.55,-77.15,180.0,top
U282,122.449999,-77.15,180.0,top
U283,116.9,-79.15,315.0,top
U284,118.9,-81.2,315.0,top
U285,123.05,-85.75,315.0,top
U286,126.35,-89.15,315.0,top
U287,127.949999,-90.8,315.0,top
U288,129.6,-92.45,315.0,top
U289,131.5,-94.75,315.0,top
U29,103.05,-47.85,270.0,top
U290,137.95,-77.95,315.0,top
U291,135.55,-75.5,315.0,top
U292,133.25,-73.15,315.0,top
U293,130.949999,-70.75,315.0,top
U294,128.6,-68.35,315.0,top
U295,126.25,-65.95,315.0,top
U296,123.9,-63.5,315.0,top
U297,117.55,-62.099999,0.0,top
U298,110.85,-59.8,315.0,top
U299,108.95,-57.8,315.0,top
U3,133.335,-8.665,180.0,top
U30,96.05,-50.8,315.0,top
U300,108.05,-55.099999,225.0,top
U301,103.15,-56.15,270.0,top
U302,103.05,-52.2,270.0,top
U303,107.2,-52.25,180.0,top
U304,110.85,-52.25,0.0,top
U305,114.0,-52.25,0.0,top
U306,115.25,-49.5,0.0,top
U307,119.3,-55.099999,315.0,top
U308,121.65,-54.55,45.0,top
U309,124.15,-51.95,45.0,top
U31,94.2,-48.95,315.0,top
U310,130.85,-49.25,0.0,top
U311,135.9,-49.25,0.0,top
U312,144.65,-48.7,45.0,top
U313,146.0,-47.3,45.0,top
U314,147.15,-46.05,45.0,top
U315,147.8,-44.15,90.0,top
U316,147.8,-42.2,90.0,top
U317,147.8,-40.2,90.0,top
U318,147.8,-35.4,90.0,top
U319,147.8,-33.5,90.0,top
U32,92.4,-47.1,315.0,top
U320,147.8,-31.85,90.0,top
U33,90.55,-45.2,315.0,top
U34,88.15,-43.75,0.0,top
U35,82.55,-45.25,315.0,top
U36,80.4,-47.4,45.0,top
U37,82.2,-52.1,0.0,top
U38,79.85,-52.45,0.0,top
U39,75.75,-48.45,0.0,top
U4,135.835,-8.665,180.0,top
U40,73.15,-48.45,0.0,top
U41,75.35,-43.85,0.0,top
U42,72.85,-34.45,135.0,top
U43,74.75,-36.35,135.0,top
U44,76.85,-38.5,135.0,top
U45,79.0,-40.75,315.0,top
U46,81.0,-40.25,90.0,top
U47,81.0,-37.7,90.0,top
U48,81.0,-35.15,90.0,top
U49,81.0,-32.25,0.0,top
U5,138.335,-8.665,180.0,top
U50,81.0,-26.049999,90.0,top
U51,80.8,-20.5,45.0,top
U52,83.95,-17.3,45.0,top
U53,87.1,-14.05,45.0,top
U54,91.5,-9.3,45.0,top
U55,92.7,-8.05,45.0,top
U56,94.2,-6.5,45.0,top
U57,95.6,-5.1,45.0,top
U58,96.9,-3.75,45.0,top
U59,98.35,-2.3,45.0,top
U6,140.835,-8.665,180.0,top
U60,77.9,-5.4,0.0,top
U61,69.5,-5.5,0.0,top
U62,61.099999,-5.55,0.0,top
U63,59.15,-10.85,315.0,top
U64,61.15,-12.85,315.0,top
U65,65.2,-17.35,315.0,top
U66,65.7,-27.15,315.0,top
U67,70.45,-22.75,135.0,top
U68,73.55,-27.65,45.0,top
U69,70.7,-32.45,90.0,top
U7,143.335,-8.665,180.0,top
U70,70.7,-34.8,270.0,top
U71,70.7,-36.65,270.0,top
U72,70.7,-39.2,270.0,top
U73,69.6,-43.85,0.0,top
U74,67.25,-40.95,315.0,top
U75,64.75,-38.4,315.0,top
U76,62.45,-36.0,315.0,top
U77,60.25,-33.75,315.0,top
U78,59.0,-32.45,315.0,top
U79,54.95,-28.34,45.0,top
U8,145.835,-8.665,180.0,top
U80,57.8,-25.45,45.0,top
U81,60.95,-22.25,315.0,top
U82,59.45,-20.75,315.0,top
U83,58.0,-19.25,315.0,top
U84,56.599999,-17.8,315.0,top
U85,55.15,-16.3,315.0,top
U86,53.6,-14.25,270.0,top
U87,54.2,-11.7,225.0,top
U88,58.25,-14.25,0.0,top
U89,58.06,-9.73,315.0,top
U9,130.65,-28.25,45.0,top
U90,57.0,-8.6,315.0,top
U91,55.92,-7.56,315.0,top
U92,54.099999,-5.65,315.0,top
U93,52.45,-3.949999,315.0,top
U94,51.2,-2.949999,315.0,top
U95,50.0,-1.75,315.0,top
U96,48.95,-0.66,315.0,top
U97,34.5,-6.55,315.0,top
U98,36.3,-8.399999,315.0,top
U99,38.0,-10.149999,315.0,top
